Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 1.341121	Val Loss: 1.442941	Val Acc: 50
Train Epoch: 4 [48640/49000 (99%)]	Train Loss: 1.416898	Val Loss: 1.470591	Val Acc: 50
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 1.184875	Val Loss: 1.515306	Val Acc: 50
Train Epoch: 5 [2560/49000 (5%)]	Train Loss: 1.164130	Val Loss: 1.440392	Val Acc: 53
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 1.100964	Val Loss: 1.471618	Val Acc: 51
Train Epoch: 5 [7680/49000 (16%)]	Train Loss: 1.182336	Val Loss: 1.472527	Val Acc: 49
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 1.334901	Val Loss: 1.456867	Val Acc: 50
Train Epoch: 5 [12800/49000 (26%)]	Train Loss: 1.285436	Val Loss: 1.495291	Val Acc: 50
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 1.191059	Val Loss: 1.505792	Val Acc: 48
Train Epoch: 5 [17920/49000 (36%)]	Train Loss: 1.297214	Val Loss: 1.583837	Val Acc: 49
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 1.161160	Val Loss: 1.466528	Val Acc: 52
Train Epoch: 5 [23040/49000 (47%)]	Train Loss: 1.338862	Val Loss: 1.483992	Val Acc: 49
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 1.198725	Val Loss: 1.576877	Val Acc: 47
Train Epoch: 5 [28160/49000 (57%)]	Train Loss: 1.194258	Val Loss: 1.532103	Val Acc: 50
Train Epoch: 5 [30720/49000 (62%)]	Train Loss: 1.419315	Val Loss: 1.499690	Val Acc: 50
Train Epoch: 5 [33280/49000 (68%)]	Train Loss: 1.240143	Val Loss: 1.510686	Val Acc: 50
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 1.119121	Val Loss: 1.495868	Val Acc: 50
Train Epoch: 5 [38400/49000 (78%)]	Train Loss: 1.268464	Val Loss: 1.471682	Val Acc: 50
Train Epoch: 5 [40960/49000 (83%)]	Train Loss: 1.504793	Val Loss: 1.464852	Val Acc: 52
Train Epoch: 5 [43520/49000 (89%)]	Train Loss: 1.239957	Val Loss: 1.492300	Val Acc: 51
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 1.224530	Val Loss: 1.488717	Val Acc: 51
Train Epoch: 5 [48640/49000 (99%)]	Train Loss: 1.184579	Val Loss: 1.486114	Val Acc: 51
Train Epoch: 6 [0/49000 (0%)]	Train Loss: 1.162237	Val Loss: 1.561450	Val Acc: 49
Train Epoch: 6 [2560/49000 (5%)]	Train Loss: 1.104769	Val Loss: 1.504371	Val Acc: 51
Train Epoch: 6 [5120/49000 (10%)]	Train Loss: 1.118533	Val Loss: 1.504732	Val Acc: 49
Train Epoch: 6 [7680/49000 (16%)]	Train Loss: 1.207799	Val Loss: 1.437414	Val Acc: 52
Train Epoch: 6 [10240/49000 (21%)]	Train Loss: 1.078103	Val Loss: 1.513361	Val Acc: 51
Train Epoch: 6 [12800/49000 (26%)]	Train Loss: 1.129581	Val Loss: 1.507462	Val Acc: 51
Train Epoch: 6 [15360/49000 (31%)]	Train Loss: 1.123392	Val Loss: 1.467203	Val Acc: 50
Train Epoch: 6 [17920/49000 (36%)]	Train Loss: 1.205114	Val Loss: 1.486348	Val Acc: 50
